Node		Color		Attempts
----		-----		--------
1			12			12
2			57			57
3			19			19
4			18			18
5			6			6
6			9			9
7			13			13
8			44			44
9			16			16
10			2			2
11			51			51
12			45			45
13			33			33
14			11			11
15			45			45
16			18			18
17			35			35
18			36			36
19			14			14
20			22			22
21			59			59
22			26			26
23			36			36
24			12			12
25			5			10
26			5			5
27			25			25
28			10			10
29			15			15
30			52			52
31			54			54
32			9			9
33			25			25
34			26			26
35			10			10
36			43			43
37			33			33
38			42			42
39			1			1
40			2			2
41			18			18
42			59			59
43			39			39
44			27			27
45			59			59
46			1			1
47			27			27
48			51			51
49			42			42
50			18			18
51			3			3
52			1			1
53			18			18
54			42			42
55			25			25
56			7			15
57			1			1
58			37			37
59			21			21
60			52			52
61			15			15
62			51			51
63			48			48
64			10			10
65			30			30
66			8			8
67			34			34
68			25			25
69			35			35
70			54			54
71			33			33
72			58			58
73			17			17
74			1			1
75			31			31
76			10			10
77			3			3
78			31			31
79			1			2
80			24			24
81			49			49
82			24			24
83			1			3
84			32			32
85			42			42
86			48			48
87			13			13
88			22			22
89			8			8
90			22			22
91			35			35
92			30			30
93			1			1
94			17			17
95			1			1
96			38			38
97			25			25
98			33			33
99			32			32
100			9			9
101			5			5
102			29			29
103			8			8
104			43			43
105			8			8
106			19			19
107			39			39
108			59			59
109			51			51
110			42			42
111			27			27
112			17			17
113			46			46
114			59			59
115			42			42
116			27			27
117			42			42
118			3			3
119			20			20
120			58			58
